city,year,month,t2m,t2m_max,t2m_min,prec_acum
Puerto Ayacucho,1997,3,28.83,37.62,19.9,5.27
Puerto Ayacucho,1997,4,28.55,39.18,22.9,47.46
Puerto Ayacucho,1997,5,27.01,36.01,21.94,89.65
Puerto Ayacucho,1997,6,27.62,36.38,22.45,10.55
Puerto Ayacucho,1997,7,25.79,33.76,20.29,321.68
Puerto Ayacucho,1997,8,25.49,30.39,20.98,279.49
Puerto Ayacucho,1997,9,26.13,31.05,22.23,369.14
Puerto Ayacucho,1997,10,26.3,31.14,22.39,258.4
Puerto Ayacucho,1997,11,26.3,31.0,21.97,84.38
Puerto Ayacucho,1997,12,25.94,30.83,21.53,36.91
Puerto Ayacucho,1998,1,28.14,38.46,20.41,5.27
Puerto Ayacucho,1998,2,29.78,39.33,23.22,63.28
Puerto Ayacucho,1998,3,29.79,39.7,24.01,100.2
Puerto Ayacucho,1998,4,27.34,33.23,22.87,358.59
Puerto Ayacucho,1998,5,25.67,30.23,22.79,485.16
Puerto Ayacucho,1998,6,25.17,29.76,21.94,896.48
Puerto Ayacucho,1998,7,24.8,29.55,21.59,595.9
Puerto Ayacucho,1998,8,25.62,30.28,21.73,416.6
Puerto Ayacucho,1998,9,25.73,30.65,21.3,247.85
Puerto Ayacucho,1998,10,25.85,30.78,21.93,195.12
Puerto Ayacucho,1998,11,25.65,30.22,21.48,116.02
Puerto Ayacucho,1998,12,25.57,30.1,20.61,79.1
Puerto Ayacucho,1999,1,25.2,29.83,21.04,89.65
Puerto Ayacucho,1999,2,25.24,30.14,20.96,131.84
Puerto Ayacucho,1999,3,26.12,34.01,18.87,47.46
Puerto Ayacucho,1999,4,25.19,30.63,21.07,369.14
Puerto Ayacucho,1999,5,24.95,30.51,20.65,174.02
Puerto Ayacucho,1999,6,24.55,29.77,21.49,363.87
Puerto Ayacucho,1999,7,24.16,29.22,20.41,416.6
Puerto Ayacucho,1999,8,24.32,29.47,20.17,290.04
Puerto Ayacucho,1999,9,24.92,29.65,20.74,279.49
Puerto Ayacucho,1999,10,24.88,29.96,21.27,263.67
Puerto Ayacucho,1999,11,25.36,30.2,21.37,89.65
Puerto Ayacucho,1999,12,25.23,30.08,19.18,52.73
Puerto Ayacucho,2000,1,24.96,31.9,18.8,10.55
Puerto Ayacucho,2000,2,26.43,34.51,20.19,63.28
Puerto Ayacucho,2000,3,27.09,37.67,21.35,89.65
Puerto Ayacucho,2000,4,25.73,33.34,21.37,184.57
Puerto Ayacucho,2000,5,24.88,31.15,21.55,469.34
Puerto Ayacucho,2000,6,24.47,29.1,20.76,353.32
Puerto Ayacucho,2000,7,24.16,29.35,21.11,427.15
Puerto Ayacucho,2000,8,24.92,30.37,20.39,337.5
Puerto Ayacucho,2000,9,24.7,29.65,20.33,274.22
Puerto Ayacucho,2000,10,25.3,30.24,21.09,137.11
Puerto Ayacucho,2000,11,25.51,30.51,21.14,73.83
Puerto Ayacucho,2000,12,24.88,29.78,18.33,68.55
Puerto Ayacucho,2001,1,25.05,31.87,18.59,31.64
Puerto Ayacucho,2001,2,28.28,37.08,18.51,0.0
Puerto Ayacucho,2001,3,28.28,38.3,21.78,100.2
Puerto Ayacucho,2001,4,27.92,38.12,22.31,31.64
Puerto Ayacucho,2001,5,25.73,33.32,21.89,226.76
Puerto Ayacucho,2001,6,24.62,29.84,21.54,195.12
Puerto Ayacucho,2001,7,24.81,29.74,19.78,279.49
Puerto Ayacucho,2001,8,24.96,30.4,20.97,195.12
Puerto Ayacucho,2001,9,25.33,30.49,20.77,210.94
Puerto Ayacucho,2001,10,26.23,30.87,22.16,79.1
Puerto Ayacucho,2001,11,25.99,31.05,22.19,73.83
Puerto Ayacucho,2001,12,26.04,30.65,22.39,137.11
Puerto Ayacucho,2002,1,26.77,34.93,19.18,0.0
Puerto Ayacucho,2002,2,29.35,38.62,23.1,5.27
Puerto Ayacucho,2002,3,28.55,38.31,22.05,100.2
Puerto Ayacucho,2002,4,27.08,35.67,22.76,94.92
Puerto Ayacucho,2002,5,25.89,33.51,22.15,353.32
Puerto Ayacucho,2002,6,24.48,29.48,20.83,458.79
Puerto Ayacucho,2002,7,25.23,29.68,21.03,226.76
Puerto Ayacucho,2002,8,25.33,30.3,20.62,253.12
Puerto Ayacucho,2002,9,25.9,31.2,21.31,168.75
Puerto Ayacucho,2002,10,26.02,30.98,20.62,116.02
Puerto Ayacucho,2002,11,25.58,30.62,20.85,147.66
Puerto Ayacucho,2002,12,25.33,30.34,19.14,58.01
Puerto Ayacucho,2003,1,26.94,35.79,20.15,0.0
Puerto Ayacucho,2003,2,29.82,38.23,22.16,0.0
Puerto Ayacucho,2003,3,29.98,39.05,22.93,36.91
Puerto Ayacucho,2003,4,26.37,36.9,21.74,210.94
Puerto Ayacucho,2003,5,25.33,30.58,22.3,184.57
Puerto Ayacucho,2003,6,24.76,29.76,21.08,342.77
Puerto Ayacucho,2003,7,24.63,29.07,20.84,469.34
Puerto Ayacucho,2003,8,24.83,30.06,20.73,247.85
Puerto Ayacucho,2003,9,25.24,30.29,21.05,321.68
Puerto Ayacucho,2003,10,25.94,30.96,21.08,131.84
Puerto Ayacucho,2003,11,25.66,30.4,20.25,79.1
Puerto Ayacucho,2003,12,25.99,30.38,21.51,10.55
Puerto Ayacucho,2004,1,26.85,35.72,20.4,0.0
Puerto Ayacucho,2004,2,29.01,37.74,20.62,5.27
Puerto Ayacucho,2004,3,29.59,39.98,23.26,10.55
Puerto Ayacucho,2004,4,26.44,35.19,22.19,168.75
Puerto Ayacucho,2004,5,25.17,30.14,21.22,321.68
Puerto Ayacucho,2004,6,25.12,29.75,21.66,274.22
Puerto Ayacucho,2004,7,24.46,29.33,21.05,295.31
Puerto Ayacucho,2004,8,24.95,29.64,20.31,279.49
Puerto Ayacucho,2004,9,25.26,30.37,21.23,163.48
Puerto Ayacucho,2004,10,25.89,31.03,21.48,79.1
Puerto Ayacucho,2004,11,25.95,30.92,22.16,94.92
Puerto Ayacucho,2004,12,26.21,30.69,21.62,31.64
Puerto Ayacucho,2005,1,27.66,36.23,21.83,5.27
Puerto Ayacucho,2005,2,28.47,38.17,22.62,58.01
Puerto Ayacucho,2005,3,30.48,40.1,22.2,10.55
Puerto Ayacucho,2005,4,27.16,37.18,22.42,79.1
Puerto Ayacucho,2005,5,25.92,34.15,21.62,200.39
Puerto Ayacucho,2005,6,25.26,30.35,21.59,258.4
Puerto Ayacucho,2005,7,24.78,30.47,20.03,295.31
Puerto Ayacucho,2005,8,25.16,31.3,21.68,142.38
Puerto Ayacucho,2005,9,25.38,30.87,21.01,89.65
Puerto Ayacucho,2005,10,25.91,31.02,21.41,52.73
Puerto Ayacucho,2005,11,25.64,30.42,21.86,152.93
Puerto Ayacucho,2005,12,25.58,30.38,20.63,31.64
Puerto Ayacucho,2006,1,26.61,35.87,20.99,31.64
Puerto Ayacucho,2006,2,28.96,37.44,22.01,10.55
Puerto Ayacucho,2006,3,28.68,37.99,22.04,36.91
Puerto Ayacucho,2006,4,28.26,38.13,22.65,26.37
Puerto Ayacucho,2006,5,25.59,33.59,20.69,174.02
Puerto Ayacucho,2006,6,24.69,30.33,21.07,311.13
Puerto Ayacucho,2006,7,24.92,29.9,21.3,195.12
Puerto Ayacucho,2006,8,25.23,29.83,20.98,274.22
Puerto Ayacucho,2006,9,25.95,30.93,21.53,147.66
Puerto Ayacucho,2006,10,26.12,31.18,22.15,100.2
Puerto Ayacucho,2006,11,25.8,30.33,21.72,36.91
Puerto Ayacucho,2006,12,26.21,33.22,21.46,15.82
Puerto Ayacucho,2007,1,28.55,37.68,22.16,15.82
Puerto Ayacucho,2007,2,30.35,39.33,21.5,0.0
Puerto Ayacucho,2007,3,29.08,39.58,22.27,58.01
Puerto Ayacucho,2007,4,26.65,34.66,21.74,205.66
Puerto Ayacucho,2007,5,25.62,33.2,22.09,342.77
Puerto Ayacucho,2007,6,25.09,30.33,21.79,321.68
Puerto Ayacucho,2007,7,25.05,30.13,21.34,237.3
Puerto Ayacucho,2007,8,24.76,29.21,21.23,195.12
Puerto Ayacucho,2007,9,25.26,30.98,21.48,179.3
Puerto Ayacucho,2007,10,25.55,30.22,21.39,163.48
Puerto Ayacucho,2007,11,25.85,30.92,22.02,36.91
Puerto Ayacucho,2007,12,25.3,29.91,20.88,73.83
Puerto Ayacucho,2008,1,25.95,34.6,19.45,10.55
Puerto Ayacucho,2008,2,28.36,37.37,20.33,31.64
Puerto Ayacucho,2008,3,29.22,38.33,21.55,42.19
Puerto Ayacucho,2008,4,28.27,37.71,22.73,73.83
Puerto Ayacucho,2008,5,25.73,34.27,21.05,268.95
